,carbs,category,description,fat,fiber,kcal,monounsat.,polyunsat.,price,price_per_kg,protein,qty,salt,saturated,sugars,€/g carb,€/g fat,€/g protein,€/kcal
5741900,0.0,Surgelati e gelati,"Oggi Pesce, mazzancolle tropicali cotte surgelate 300 g",0.8,0.0,60,,,6.9,23.01,13.3,300 g,1.2,0.3,0.0,0.0,2.87625,0.17300751879699247,0.03835
5741769,38.3,Surgelati e gelati,"Italpizza, La ""Verace Margherita Alta"" surgelata 425 g",8.0,1.8,266,,,2.98,7.02,9.2,425 g,1.4,2.8,1.4,0.0183289817232376,0.08775,0.07630434782608696,0.002639097744360902
5405310,1.0,Surgelati e gelati,"Cuoco di Bordo, filetti di branzino surgelati  peso al netto della glassatura 400 g",5.1,,129,,2.3,7.98,19.95,19.8,400 g,0.18,1.2,0.2,1.9949999999999999,0.3911764705882353,0.10075757575757575,0.015465116279069767
5751893,25.0,Surgelati e gelati,"Roncadin, Extra Voglia Pizza Extra Sottile salamino surgelata 375 g",8.8,2.3,224,,,3.39,9.04,10.0,375 g,1.6,4.5,5.6,0.03616,0.10272727272727271,0.0904,0.004035714285714286
5419160,0.0,Surgelati e gelati,"PanaPesca, spiedini di mare surgelati peso al netto della glassatura 400 g",0.4,0.0,65,,,5.99,14.98,15.3,400 g,0.9,0.1,0.0,0.0,3.7449999999999997,0.09790849673202615,0.023046153846153845
5742558,23.0,Surgelati e gelati,"Cameo, Ristorante pizza al Tonno surgelata 355 g",14.0,,262,,,3.19,8.99,9.3,355 g,1.2,3.4,2.9,0.03908695652173913,0.06421428571428571,0.09666666666666666,0.0034312977099236644
5758904,37.0,Surgelati e gelati,"Sammontana, Cinque Stelle croccantino coni 6 pezzi 450 g",17.0,,322,,,3.89,8.65,4.8,450 g,0.3,13.0,28.0,0.02337837837837838,0.05088235294117647,0.18020833333333333,0.002686335403726708
5419341,2.7,Surgelati e gelati,"Montana, hamburger con bacon surgelati conf. 4x100 g",16.0,0.5,232,8.0,0.5,4.69,11.73,18.0,400 g,0.75,8.1,0.5,0.4344444444444444,0.0733125,0.06516666666666666,0.0050560344827586205
5394951,5.6,Surgelati e gelati,"Bonduelle, Le Coccole sformatini di broccoli e carote surgelati conf. 8x37,5 g",5.2,2.9,89,,,3.05,10.17,3.6,300 g,0.78,1.0,2.8,0.18160714285714286,0.19557692307692306,0.2825,0.01142696629213483
5382161,8.6,Surgelati e gelati,"Bonduelle, Natura in Padella faglioni e patate surgelati 450 g",0.2,3.3,51,,,1.92,4.27,2.1,450 g,0.02,0.1,1.2,0.049651162790697666,2.1349999999999993,0.20333333333333328,0.008372549019607841
5390808,7.6,Surgelati e gelati,"Come una volta, peperoni grigliati surgelati 450 g",0.1,1.9,42,,,2.59,5.76,1.8,450 g,0.0,0.0,7.1,0.07578947368421052,5.759999999999999,0.31999999999999995,0.013714285714285714
5396075,2.9,Surgelati e gelati,"Cuoco di Bordo, code di mazzancolle tropicali surgelate peso al netto della glassatura 400 g",0.9,0.0,85,,,7.99,19.98,16.5,400 g,375.0,0.7,2.9,0.6889655172413793,2.2199999999999998,0.1210909090909091,0.023505882352941175
5760669,19.0,Surgelati e gelati,"Findus, filetti di platessa alla mugnaia surgelati 250 g",9.2,0.6,204,,,4.99,19.96,11.0,250 g,0.64,5.7,0.5,0.10505263157894737,0.21695652173913046,0.18145454545454545,0.009784313725490197
5719188,30.0,Surgelati e gelati,"Liuk, 8 pezzi 632 g",0.9,,133,,,3.25,5.15,0.8,632 g,0.02,0.8,23.0,0.017166666666666667,0.5722222222222222,0.6437499999999999,0.00387218045112782
